date,symbol,open,high,low,close,Volume ETH,tradecount
01/06/2021 00:00,ETH/USDT,2706.15,2706.85,2690,2703.72,3069.14375,4791
31/05/2021 23:00,ETH/USDT,2644.81,2720,2639.2,2706.15,51891.05184,99093
31/05/2021 22:00,ETH/USDT,2627.42,2670.04,2621.06,2644.55,41222.56263,64097
31/05/2021 21:00,ETH/USDT,2598.86,2632.32,2595.53,2627.64,16124.04156,69326
31/05/2021 20:00,ETH/USDT,2627.2,2645.65,2593.2,2598.87,33706.72724,46630
31/05/2021 19:00,ETH/USDT,2593.17,2628.45,2584.6,2627.2,26037.46462,41814
31/05/2021 18:00,ETH/USDT,2615.56,2618.8,2572.65,2593.17,29396.05318,43718
31/05/2021 17:00,ETH/USDT,2634.68,2638.7,2583.23,2615.56,51926.49784,73469
31/05/2021 16:00,ETH/USDT,2637.47,2677.7,2620.61,2634.8,84929.88266,120951
31/05/2021 15:00,ETH/USDT,2542.73,2643.56,2542.71,2637.48,86641.4405,126111
31/05/2021 14:00,ETH/USDT,2529.85,2555,2509.66,2542.82,71731.38595,75719
31/05/2021 13:00,ETH/USDT,2533.67,2575.09,2521.8,2529.84,60160.69363,75882
31/05/2021 12:00,ETH/USDT,2551.81,2583.96,2518.58,2533.59,66738.69365,87323
31/05/2021 11:00,ETH/USDT,2554,2587.15,2545,2551.46,71170.88803,94623
31/05/2021 10:00,ETH/USDT,2486.95,2562.22,2486.33,2554,73254.14306,101801
31/05/2021 09:00,ETH/USDT,2493,2522.22,2483.88,2486.95,63531.27035,84155
31/05/2021 08:00,ETH/USDT,2450.3,2507.96,2425.04,2492.99,79675.45597,108512
31/05/2021 07:00,ETH/USDT,2390.39,2455.31,2385.03,2450.42,81706.32891,97753
31/05/2021 06:00,ETH/USDT,2318.12,2394,2316.41,2390.13,44129.53864,60904
31/05/2021 05:00,ETH/USDT,2310.98,2338.85,2296.63,2318.04,39418.50723,52290
31/05/2021 04:00,ETH/USDT,2300.98,2318.66,2279.94,2310.45,37782.82127,52203
31/05/2021 03:00,ETH/USDT,2309.43,2321,2271.44,2300.77,49532.03385,64747
31/05/2021 02:00,ETH/USDT,2303.8,2336.99,2284.25,2309.42,45930.3485,61557
31/05/2021 01:00,ETH/USDT,2354,2363.48,2295.01,2303.75,50759.23108,73015
31/05/2021 00:00,ETH/USDT,2385.82,2414.96,2350.01,2354.01,50560.97849,73484
30/05/2021 23:00,ETH/USDT,2411.03,2420.32,2378.41,2385.98,31414.39138,41490
30/05/2021 22:00,ETH/USDT,2420.72,2431.98,2386,2411.03,26298.03114,40548
30/05/2021 21:00,ETH/USDT,2436.26,2450,2419.77,2420.72,20825.5532,32921
30/05/2021 20:00,ETH/USDT,2441.9,2460.91,2420.49,2435.42,31826.65972,46135
30/05/2021 19:00,ETH/USDT,2456.96,2463.42,2433.34,2441.9,31509.43858,41364
30/05/2021 18:00,ETH/USDT,2420.11,2465.9,2419.26,2456.95,36196.2808,54727
30/05/2021 17:00,ETH/USDT,2408.31,2437.46,2406.09,2420.34,30200.02157,48159
30/05/2021 16:00,ETH/USDT,2382.04,2431,2363.9,2407.73,44181.17897,64329
30/05/2021 15:00,ETH/USDT,2352.83,2384.99,2350.35,2382.48,27771.93528,41452
30/05/2021 14:00,ETH/USDT,2389.59,2393.72,2340,2352.92,42352.19084,59212
30/05/2021 13:00,ETH/USDT,2388.07,2405.41,2371,2389.11,37768.42661,48647
30/05/2021 12:00,ETH/USDT,2461.92,2468,2362.84,2388.08,59734.99015,78467
30/05/2021 11:00,ETH/USDT,2399.3,2463.08,2389.69,2461.56,52335.24772,65086
30/05/2021 10:00,ETH/USDT,2423.73,2433.83,2386.23,2399.3,48403.50193,61392
30/05/2021 09:00,ETH/USDT,2418.79,2442.8,2408.08,2423.83,44676.57074,60084
30/05/2021 08:00,ETH/USDT,2452.32,2476.42,2412.62,2418.79,58900.28255,80646
30/05/2021 07:00,ETH/USDT,2425.15,2463.54,2406.86,2452.33,74354.49237,92668
30/05/2021 06:00,ETH/USDT,2370.87,2436.5,2370.87,2425.15,85171.87317,109020
30/05/2021 05:00,ETH/USDT,2297.47,2385,2297.47,2370.85,68008.0152,85558
30/05/2021 04:00,ETH/USDT,2296.47,2318,2275.21,2297.41,51023.41731,62061
30/05/2021 03:00,ETH/USDT,2280.77,2319,2265.11,2296.12,59248.36488,65866
30/05/2021 02:00,ETH/USDT,2224.17,2284.14,2212.62,2280.77,43639.1756,58497
30/05/2021 01:00,ETH/USDT,2228.17,2248.6,2192.93,2224.18,48395.10995,63678
30/05/2021 00:00,ETH/USDT,2278.74,2282.59,2180.53,2227.77,96878.04917,116998
29/05/2021 23:00,ETH/USDT,2272.05,2323.23,2244.27,2278.74,57534.24537,71501
29/05/2021 22:00,ETH/USDT,2278.76,2289.43,2252.16,2272.04,39249.33861,51069
